physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG1-1,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.11681295031279,25.470342333352484,-10.646470616960308
BCG1-1,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.63031713649734,35.786379165025046,-8.843937971472293
BCG1-1,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,33.399627632738735,26.883097487586923,-6.516530145151812
BCG1-1,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.3709788963786,39.78841247513741,-5.582566421241189
BCG1-2,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.62882997748459,27.697216588672635,-7.931613388811957
BCG1-2,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.97002398459517,35.52006726843033,-9.449956716164841
BCG1-2,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.06156520870821,26.69024690702745,-8.371318301680759
BCG1-2,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,52.99487712404011,40.938760732054014,-12.056116391986095
BCG1-3,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,37.54063018367766,30.24714808758249,-7.293482096095172
BCG1-3,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.53683750505255,35.509980415669745,-9.026857089382808
BCG1-3,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,37.98083212476057,27.416466784177988,-10.56436534058258
BCG1-3,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,49.67943907885243,38.37025231181763,-11.309186767034802
BCG1-4,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.919423014487435,30.195068722334657,-5.724354292152778
BCG1-4,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.67367135732368,36.81226137762548,-7.861409979698195
BCG1-4,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,37.16118311585726,27.54528958344589,-9.615893532411373
BCG1-4,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.596933528645614,39.527585781981344,-11.06934774666427
BCG1-5,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.32265426437409,28.8606256643005,-6.462028600073587
BCG1-5,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.97219018793978,35.59029943209578,-9.381890755843997
BCG1-5,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.40818950210621,28.437647001560634,-10.970542500545577
BCG1-5,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,49.18624759500129,38.87692553127378,-10.309322063727514
BCG1-6,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.9799319616139,30.443616558510808,-5.536315403103092
BCG1-6,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.41453589921738,35.72182059815311,-8.692715301064268
BCG1-6,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,37.91263117486756,28.34940292496523,-9.563228249902334
BCG1-6,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.24633795068333,39.14446305958204,-6.101874891101296
BCG1-7,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,33.44074459950409,28.040495199899173,-5.40024939960492
BCG1-7,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.93565877058131,34.25431636103472,-10.681342409546595
BCG1-7,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,37.69633878236422,25.21535859624993,-12.48098018611429
BCG1-7,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,48.69668666360409,36.78767965787981,-11.909007005724277
BCG1-8,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.45152591510247,29.311972334175685,-5.139553580926787
BCG1-8,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,47.35121427843158,35.38124422781725,-11.969970050614329
BCG1-8,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.19608947065788,26.36011881000087,-9.835970660657011
BCG1-8,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.72047012386705,39.64051239750045,-12.079957726366601
BCG2-1,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.13464237720915,30.972543765620618,-5.1620986115885295
BCG2-1,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.77656652947407,36.40416653701762,-9.372399992456444
BCG2-1,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.31529096456208,27.61563914409573,-8.69965182046635
BCG2-1,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.50194806618853,42.493118758740906,-8.008829307447627
BCG2-2,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.80295955647514,30.46200773542757,-4.340951821047568
BCG2-2,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.7078148580241,36.41719654904137,-9.29061830898273
BCG2-2,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.62197002878003,27.17885936350208,-12.443110665277946
BCG2-2,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,48.69905180272082,40.91675037596997,-7.782301426750848
BCG2-3,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,33.23126645824753,30.16205645462645,-3.069210003621084
BCG2-3,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,47.047829275209885,36.59399514491899,-10.453834130290893
BCG2-3,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.12574448030203,28.17055124278968,-10.95519323751235
BCG2-3,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,49.42981420669531,41.12683682438008,-8.302977382315234
