feature_a,feature_b,n_physical_samples,spearman_rho,spearman_p,spearman_p_holm
color_cluster_1_fraction,lab_L_mean,32,-0.5557184750733136,0.0009599120064889213,0.026877536181689796
color_cluster_1_fraction,lab_a_local_sd_0.5mm_mean,32,-0.16788856304985336,0.35836848107672803,1.0
color_cluster_1_fraction,lab_a_mean,32,0.3222140762463343,0.07209614147112943,1.0
color_cluster_1_fraction,lab_a_std,32,-0.3478739002932551,0.0510567567565676,1.0
color_cluster_1_fraction,lab_ab_joint_entropy,32,-0.36217008797653955,0.04165290880423328,1.0
color_cluster_1_fraction,lab_chroma_local_sd_0.5mm_mean,32,-0.01502932551319648,0.9349325036723286,1.0
color_cluster_1_fraction,lab_chroma_mean,32,0.23900293255131963,0.18770392955569784,1.0
color_cluster_1_fraction,lab_chroma_std,32,-0.29545454545454547,0.10064532540992147,1.0
lab_L_mean,lab_a_local_sd_0.5mm_mean,32,0.22910557184750727,0.20719698491225894,1.0
lab_L_mean,lab_a_mean,32,-0.6246334310850439,0.00013276894688792968,0.00398306840663789
lab_L_mean,lab_a_std,32,0.12316715542521992,0.5018495355231957,1.0
lab_L_mean,lab_ab_joint_entropy,32,-0.038489736070381225,0.8343346615640607,1.0
lab_L_mean,lab_chroma_local_sd_0.5mm_mean,32,0.219574780058651,0.22724434093199447,1.0
lab_L_mean,lab_chroma_mean,32,-0.5124633431085044,0.002711153062566196,0.0732011326892873
lab_L_mean,lab_chroma_std,32,0.08651026392961875,0.6377907070942012,1.0
lab_a_local_sd_0.5mm_mean,lab_a_mean,32,-0.11876832844574779,0.5173585428017891,1.0
lab_a_local_sd_0.5mm_mean,lab_a_std,32,0.7602639296187682,4.456921133134453e-07,1.4707839739343694e-05
lab_a_local_sd_0.5mm_mean,lab_ab_joint_entropy,32,0.346041055718475,0.05237546182697183,1.0
lab_a_local_sd_0.5mm_mean,lab_chroma_local_sd_0.5mm_mean,32,0.8614369501466275,2.4681443386259006e-10,8.638505185190653e-09
lab_a_local_sd_0.5mm_mean,lab_chroma_mean,32,-0.011730205278592375,0.9491946977277164,1.0
lab_a_local_sd_0.5mm_mean,lab_chroma_std,32,0.6462609970674486,6.45327899945527e-05,0.0020005164898311335
lab_a_mean,lab_a_std,32,-0.18035190615835775,0.32326799127802,1.0
lab_a_mean,lab_ab_joint_entropy,32,0.3317448680351906,0.0636118558338383,1.0
lab_a_mean,lab_chroma_local_sd_0.5mm_mean,32,-0.1535923753665689,0.4013131434562746,1.0
lab_a_mean,lab_chroma_mean,32,0.8621700879765395,2.291060928027243e-10,8.247819340898075e-09
lab_a_mean,lab_chroma_std,32,-0.282258064516129,0.11753954001523755,1.0
lab_a_std,lab_ab_joint_entropy,32,0.26173020527859236,0.14788920010051454,1.0
lab_a_std,lab_chroma_local_sd_0.5mm_mean,32,0.5601173020527859,0.0008568645643461882,0.02484907236603946
lab_a_std,lab_chroma_mean,32,-0.09127565982404691,0.6193092452967089,1.0
lab_a_std,lab_chroma_std,32,0.7679618768328444,2.8900247085659126e-07,9.826084009124104e-06
lab_ab_joint_entropy,lab_chroma_local_sd_0.5mm_mean,32,0.23643695014662755,0.19262948414898712,1.0
lab_ab_joint_entropy,lab_chroma_mean,32,0.3321114369501466,0.0633019044247922,1.0
lab_ab_joint_entropy,lab_chroma_std,32,0.18695014662756596,0.30557905627042803,1.0
lab_chroma_local_sd_0.5mm_mean,lab_chroma_mean,32,0.00879765395894428,0.9618853208990601,1.0
lab_chroma_local_sd_0.5mm_mean,lab_chroma_std,32,0.6744868035190615,2.3041333396166125e-05,0.000737322668677316
lab_chroma_mean,lab_chroma_std,32,-0.11766862170087976,0.5212722285804526,1.0
