feature,feature_label,role,term,estimate,standard_error,z_value,p_value,ci95_low,ci95_high,n_rows,n_physical_samples,fit_method,converged,p_value_holm
lab_a_mean,Mean a* (redness),PRIMARY,Intercept,33.40641679920315,0.4327127861430805,77.20228721911862,0.0,32.55831532271273,34.25451827569357,319,32,powell,True,0.0
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Partial],-1.9301337106253553,0.7079342473323772,-2.7264307637304515,0.00640233828924575,-3.3176593388192854,-0.5426080824314252,319,32,powell,True,0.0896327360494405
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Clean],-5.757295504662589,0.5663473978659012,-10.165660734660587,2.822020866011751e-24,-6.867316007217732,-4.647275002107446,319,32,powell,True,1.1288083464047004e-22
lab_a_mean,Mean a* (redness),PRIMARY,C(scanner)[T.TRIOS3],12.060364590158807,0.5663473978659015,21.29499426607136,1.2632179059838374e-100,10.950344087603664,13.17038509271395,319,32,powell,True,6.0634459487224195e-99
lab_a_mean,Mean a* (redness),PRIMARY,C(scanner)[T.TRIOS5],5.709471414752864,0.5663473978659014,10.081217705364546,6.68919231588533e-24,4.599450912197721,6.819491917308007,319,32,powell,True,2.6087850031952787e-22
lab_a_mean,Mean a* (redness),PRIMARY,C(scanner)[T.iTERO],18.30124216005145,0.5663473978659019,32.314516194501465,4.374291615464224e-229,17.191221657496307,19.411262662606596,319,32,powell,True,2.1434028915774697e-227
lab_a_mean,Mean a* (redness),PRIMARY,C(growth_class)[T.Mature],0.6675831504309624,0.306308679925368,2.1794457492801667,0.029298570669627308,0.06722916962523406,1.2679371312366907,319,32,powell,True,0.34059971652678867
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS3],-1.9327565089252798,0.9809424678381673,-1.9703056726504573,0.04880334870461365,-3.8553684167939277,-0.01014460105663173,319,32,powell,True,0.48803348704613647
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS3],-3.918744944668354,0.8009361710766686,-4.892705668918076,9.945909225924297e-07,-5.488550993894036,-2.3489388954426724,319,32,powell,True,2.5859363987403173e-05
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS5],-3.844016541286024,0.9921701482067938,-3.8743521443711404,0.00010690872803926925,-5.788634298307107,-1.8993987842649402,319,32,powell,True,0.002138174560785385
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS5],-6.21612566805271,0.8009361710766687,-7.761074967680138,8.42125169212385e-15,-7.785931717278392,-4.646319618827028,319,32,powell,True,2.694800541479632e-13
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.iTERO],-4.027624540210093,0.9809424678381675,-4.105872334272877,4.0279190806456056e-05,-5.9502364480787415,-2.1050126323414444,319,32,powell,True,0.0008458630069355772
lab_a_mean,Mean a* (redness),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.iTERO],-5.828122293957488,0.800936171076669,-7.276637645323169,3.422429006729035e-13,-7.397928343183171,-4.258316244731805,319,32,powell,True,1.0267287020187105e-11
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,Intercept,43.084642360582755,0.42170794448135085,102.16701611721257,0.0,42.25810997740489,43.91117474376062,319,32,powell,True,0.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Partial],-3.1688527173579684,0.6876548305209751,-4.608202511945142,4.061649721892795e-06,-4.516631418974074,-1.8210740157418626,319,32,powell,True,0.00010154124304731988
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Clean],-6.142672108212909,0.5501238644167802,-11.165980073824155,5.982768310371168e-29,-7.220895069505794,-5.064449146920024,319,32,powell,True,2.512762690355891e-27
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(scanner)[T.TRIOS3],7.866898596360322,0.5501238644167813,14.300231466417994,2.1808299956328026e-46,6.788675635067435,8.94512155765321,319,32,powell,True,9.595651980784332e-45
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(scanner)[T.TRIOS5],-0.5714569065335087,0.5501238644167813,-1.0387786160473946,0.29890770873822015,-1.6496798678263958,0.5067660547593784,319,32,powell,True,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(scanner)[T.iTERO],11.611341899180578,0.5501238644167812,21.10677731003444,6.891454929297745e-99,10.533118937887691,12.689564860473466,319,32,powell,True,3.2389838167699404e-97
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(growth_class)[T.Mature],6.953293565833523e-05,0.3014439383229077,0.00023066622618183593,0.9998159549810629,-0.5907497295351541,0.5908887954064709,319,32,powell,True,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS3],-1.4741775422519072,0.9528424836259954,-1.5471366648577598,0.1218302943691084,-3.3417144930985545,0.39335940859474006,319,32,powell,True,0.9746423549528672
