physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,partial,clean,expected_baseline_to_partial,expected_partial_to_clean,expected_baseline_to_clean,fully_monotonic
BCG3-1,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.760935313161816,32.50960654451993,30.15792593757208,True,True,True,True
BCG3-1,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,48.4958945964547,42.45209834928147,38.36594641021581,True,True,True,True
BCG3-1,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.52784631623146,34.08099811989661,28.027213307194693,True,True,True,True
BCG3-1,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,55.70636393352476,46.090959124190526,41.797436222373925,True,True,True,True
BCG3-2,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,38.17024567327385,34.49619799366984,32.9351088524685,True,True,True,True
BCG3-2,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,47.00711696709815,43.32275917972227,38.34438567273778,True,True,True,True
BCG3-2,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.48501363770608,35.04034891160269,27.73271916540019,True,True,True,True
BCG3-2,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.54215385115292,45.91835219969849,40.41301323588603,True,True,True,True
BCG3-3,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.92656448153354,31.13882730197501,29.240354526799223,True,True,True,True
BCG3-3,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.51755083105596,42.68540166283467,37.22928270977444,True,True,True,True
BCG3-3,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.77185138714556,34.09915237171917,28.72244220822035,True,True,True,True
BCG3-3,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.54303880820778,43.75545457001674,41.67941472090825,True,True,True,True
BCG3-4,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.29557898646743,33.503803132503094,28.468115882306066,True,True,True,True
BCG3-4,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.55611567751488,44.5506304937126,36.44602615383717,True,True,True,True
BCG3-4,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.39971616440198,35.7387058928052,27.920250570464244,True,True,True,True
BCG3-4,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.6423403387826,48.91196673436283,40.72439713744614,True,True,True,True
BCG3-5,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.4811657954511,29.342164951280207,30.252445851434103,True,False,True,False
BCG3-5,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,43.328145252425806,41.09863385294635,36.99755997354348,True,True,True,True
BCG3-5,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.36673524901602,32.352921993081026,28.751046918615668,True,True,True,True
BCG3-5,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.3103617055221,46.36813444607444,41.66485634281212,True,True,True,True
BCG3-6,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.458148279921446,28.976640565338297,27.930058109230394,True,True,True,True
BCG3-6,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.28065506438982,38.13543925341784,36.686014603017696,True,True,True,True
BCG3-6,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.007648932976,28.860163726181234,28.331048987795185,True,True,True,True
