feature,feature_label,role,scanner_a,scanner_b,n_physical_samples,spearman_rho,spearman_p,mean_change_scanner_a,mean_change_scanner_b,mean_difference_a_minus_b,sd_difference,loa95_low,loa95_high,spearman_p_holm
lab_a_mean,Mean a* (redness),PRIMARY,LABscanner,TRIOS3,32,-0.035923753665689145,0.8452417765442579,-5.757295504662462,-9.676040449330925,3.9187449446684637,2.350066410150671,-0.6873852192268517,8.52487510856378,1.0
lab_a_mean,Mean a* (redness),PRIMARY,LABscanner,TRIOS5,32,-0.15579178885630496,0.3945222962601382,-5.757295504662462,-11.97342117271528,6.216125668052818,3.318337658653752,-0.28781614290853597,12.720067479014173,1.0
lab_a_mean,Mean a* (redness),PRIMARY,LABscanner,iTERO,32,0.10300586510263929,0.5747960821859179,-5.757295504662462,-11.58541779862004,5.828122293957579,3.477683375366104,-0.9881371217599844,12.644381709675141,1.0
lab_a_mean,Mean a* (redness),PRIMARY,TRIOS3,TRIOS5,32,0.500366568914956,0.003540312863233241,-9.676040449330925,-11.97342117271528,2.2973807233843546,2.1160499396813366,-1.8500771583910653,6.444838605159775,0.06726594440143158
lab_a_mean,Mean a* (redness),PRIMARY,TRIOS3,iTERO,32,0.7195747800586509,3.4624247383702655e-06,-9.676040449330925,-11.58541779862004,1.9093773492891148,2.3191212916953816,-2.636100382433833,6.454855081012063,8.309819372088637e-05
lab_a_mean,Mean a* (redness),PRIMARY,TRIOS5,iTERO,32,0.6315982404692081,0.00010586970331890664,-11.97342117271528,-11.58541779862004,-0.3880033740952399,2.2952592136649197,-4.886711432878482,4.110704684688003,0.002435003176334853
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,LABscanner,TRIOS3,32,-0.09347507331378298,0.6108548681558674,-6.142672108212985,-10.511211309693739,4.368539201480754,3.0109182148175306,-1.5328604995616057,10.269938902523114,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,LABscanner,TRIOS5,32,-0.03005865102639296,0.8702751611910937,-6.142672108212985,-12.719446762053291,6.576774653840307,3.054167395057266,0.590606559528065,12.562942748152548,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,LABscanner,iTERO,32,0.0784457478005865,0.6695544145539157,-6.142672108212985,-12.364416382886386,6.2217442746734,3.444960714848895,-0.5303787264304347,12.973867275777234,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,TRIOS3,TRIOS5,32,0.3108504398826979,0.08333263200701416,-10.511211309693739,-12.719446762053291,2.2082354523595527,1.9062314772958988,-1.5279782431404088,5.944449147859514,1.0
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,TRIOS3,iTERO,32,0.3995601173020528,0.023474153442808315,-10.511211309693739,-12.364416382886386,1.853205073192645,2.4631586035871553,-2.974585789838179,6.680995936223469,0.3990606085277414
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,TRIOS5,iTERO,32,0.5058651026392962,0.0031396714726225298,-12.719446762053291,-12.364416382886386,-0.3550303791669077,2.1287079876547486,-4.527298034970215,3.8172372766363996,0.06279342945245059
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,LABscanner,TRIOS3,32,-0.16788856304985336,0.35836848107672803,-0.4023292408377641,-0.526617710526812,0.12428846968904787,0.4220779418869646,-0.7029842964094029,0.9515612357874985,1.0
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,LABscanner,TRIOS5,32,-0.36253665689149556,0.0414314893190503,-0.4023292408377641,-0.6288646164740046,0.22653537563624043,0.4615683897484165,-0.6781386682706558,1.1312094195431368,0.6629038291048048
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,LABscanner,iTERO,32,-0.6209677419354838,0.0001492473939198225,-0.4023292408377641,-0.42131343371558094,0.01898419287781679,0.581327342079857,-1.120417397598703,1.1583857833543365,0.0032834426662360946
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,TRIOS3,TRIOS5,32,0.1972140762463343,0.2792991863388964,-0.526617710526812,-0.6288646164740046,0.10224690594719256,0.35488290448723575,-0.5933235868477895,0.7978173987421746,1.0
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,TRIOS3,iTERO,32,0.1656891495601173,0.36479019965961296,-0.526617710526812,-0.42131343371558094,-0.10530427681123108,0.39785567156075585,-0.8851013930703125,0.6744928394478503,1.0
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,TRIOS5,iTERO,32,0.5850439882697946,0.00043659136104764334,-0.6288646164740046,-0.42131343371558094,-0.20755118275842366,0.3222899020036629,-0.8392393906856029,0.4241370251687556,0.00916841858200051
