feature,feature_label,role,component,variance,variance_fraction,total_variance,n_rows,n_physical_samples,n_scanners,fit_method,converged,interpretation_note
lab_a_mean,Mean a* (redness),PRIMARY,physical_sample,0.12841872924276496,0.00233666898030726,54.95803227801593,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_a_mean,Mean a* (redness),PRIMARY,scanner,47.4871439031367,0.8640619384426595,54.95803227801593,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_a_mean,Mean a* (redness),PRIMARY,scanner_stage,2.0069970643532278,0.03651872130720477,54.95803227801593,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_a_mean,Mean a* (redness),PRIMARY,residual,5.335472581283234,0.09708267126982832,54.95803227801593,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,physical_sample,0.14151587521955133,0.0037398106513993465,37.84038509184938,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,scanner,30.417215246548015,0.8038294317755166,37.84038509184938,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,scanner_stage,2.2474190062492605,0.0593920754451662,37.84038509184938,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,residual,5.034234963832553,0.13303868212791792,37.84038509184938,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,physical_sample,0.0005414650169392423,0.008882360410250102,0.060959586408405625,319,32,4,lbfgs,False,Scanner variance is exploratory because only a small number of scanner systems is currently available.
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,scanner,0.01923699883600855,0.3155697072340371,0.060959586408405625,319,32,4,lbfgs,False,Scanner variance is exploratory because only a small number of scanner systems is currently available.
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,scanner_stage,0.0030276090164377137,0.04966583920294186,0.060959586408405625,319,32,4,lbfgs,False,Scanner variance is exploratory because only a small number of scanner systems is currently available.
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,residual,0.03815351353902012,0.625882093152771,0.060959586408405625,319,32,4,lbfgs,False,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_L_mean,Mean L* (lightness),SECONDARY,physical_sample,0.0010863009234005363,9.117144175384333e-05,11.914925359340863,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_L_mean,Mean L* (lightness),SECONDARY,scanner,4.036816218258001,0.33880331571639144,11.914925359340863,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_L_mean,Mean L* (lightness),SECONDARY,scanner_stage,3.4429159093776383,0.2889582440127096,11.914925359340863,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
lab_L_mean,Mean L* (lightness),SECONDARY,residual,4.434106930781823,0.3721472688291452,11.914925359340863,319,32,4,lbfgs,True,Scanner variance is exploratory because only a small number of scanner systems is currently available.
